"Channel 452"	"Channel 523"	"Channel 594"	"Channel 676"	"X (pixel)"	"Y (pixel)"	"X (microns)"	"Y (microns)"	"X__1"
133	0	0	0	658	305	71.8536	33.306	NA
122	0	175	0	659	304	71.9628	33.1968	NA
127	0	268	0	660	303	72.072	33.0876	NA
126	0	595	0	661	303	72.1812	33.0876	NA
127	0	1129	0	662	302	72.2904	32.9784	NA
120	0	411	0	663	302	72.3996	32.9784	NA
119	0	219	0	664	301	72.5088	32.8692	NA
126	0	219	0	665	300	72.618	32.76	NA
133	0	0	0	666	300	72.7272	32.76	NA
124	0	0	0	667	299	72.8364	32.6508	NA
130	0	259	0	668	299	72.9456	32.6508	NA
134	0	456	0	669	298	73.0548	32.5416	NA
126	0	336	0	670	297	73.164	32.4324	NA
118	0	536	0	671	297	73.2732	32.4324	NA
0	0	1058	0	672	296	73.3824	32.3232	NA
0	188	1477	270	673	296	73.4916	32.3232	NA
133	231	2181	1644	674	295	73.6008	32.214	NA
135	288	2014	6805	675	295	73.71	32.214	NA
131	307	931	9082	676	294	73.8192	32.1048	NA
124	163	1222	2476	677	293	73.9284	31.9956	NA
122	0	1729	940	678	293	74.0376	31.9956	NA
123	0	1019	236	679	292	74.1468	31.8864	NA
122	0	713	0	680	292	74.256	31.8864	NA
124	0	498	0	681	291	74.3652	31.7772	NA
125	0	368	0	682	290	74.4744	31.668	NA
126	0	274	0	683	290	74.5836	31.668	NA
129	0	0	0	684	289	74.6928	31.5588	NA
122	0	0	0	685	289	74.802	31.5588	NA
125	0	0	0	686	288	74.9112	31.4496	NA
127	0	237	0	687	287	75.0204	31.3404	NA
131	0	263	0	688	287	75.1296	31.3404	NA
123	0	172	256	689	286	75.2388	31.2312	NA
121	0	178	1051	690	286	75.348	31.2312	NA
121	0	226	697	691	285	75.4572	31.122	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	"gap"
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
125	0	174	0	624	517	68.1408	56.4564	NA
126	0	338	228	625	516	68.25	56.3472	NA
124	0	439	344	625	515	68.25	56.238	NA
121	0	790	932	626	514	68.3592	56.1288	NA
130	168	1125	2675	626	513	68.3592	56.0196	NA
128	169	1610	8676	627	512	68.4684	55.9104	NA
134	0	885	6144	628	511	68.5776	55.8012	NA
121	0	566	2761	628	510	68.5776	55.692	NA
124	0	1076	353	629	509	68.6868	55.5828	NA
122	0	1061	233	629	508	68.6868	55.4736	NA
126	164	1030	0	630	507	68.796	55.3644	NA
122	158	5925	0	631	506	68.9052	55.2552	NA
126	0	8489	0	631	505	68.9052	55.146	NA
125	0	8554	0	632	504	69.0144	55.0368	NA
125	159	4221	222	632	503	69.0144	54.9276	NA
130	272	6015	589	633	502	69.1236	54.8184	NA
128	426	7522	2035	634	501	69.2328	54.7092	NA
124	560	10688	4982	634	500	69.2328	54.6	NA
127	638	11840	8301	635	499	69.342	54.4908	NA
126	548	15367	6565	635	498	69.342	54.3816	NA
124	306	18644	1993	636	497	69.4512	54.2724	NA
127	204	16978	453	637	496	69.5604	54.1632	NA
123	198	16166	277	637	495	69.5604	54.054	NA
123	0	5795	0	638	494	69.6696	53.9448	NA
125	0	4417	0	638	493	69.6696	53.8356	NA
118	0	2626	0	639	492	69.7788	53.7264	NA
124	0	2984	0	640	491	69.888	53.6172	NA
133	0	5666	0	640	490	69.888	53.508	NA
122	0	12904	0	641	489	69.9972	53.3988	NA
